"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"9","org.springframework.boot.build.classpath","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\classpath\CheckClasspathForProhibitedDependencies.java","3","94","Position literals first in String comparisons","Best Practices","LiteralsFirstInComparisons"
"10","org.springframework.boot.build.classpath","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\classpath\CheckClasspathForProhibitedDependencies.java","3","94","Position literals first in String comparisons","Best Practices","LiteralsFirstInComparisons"
"11","org.springframework.boot.build.classpath","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\classpath\CheckClasspathForProhibitedDependencies.java","3","100","This if statement can be replaced by `return {condition} || {elseBranch};`","Design","SimplifyBooleanReturns"
"12","org.springframework.boot.build.classpath","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\classpath\CheckClasspathForProhibitedDependencies.java","3","100","Position literals first in String comparisons","Best Practices","LiteralsFirstInComparisons"
"13","org.springframework.boot.build.classpath","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\classpath\CheckClasspathForProhibitedDependencies.java","3","103","Position literals first in String comparisons","Best Practices","LiteralsFirstInComparisons"
"1","org.springframework.boot.build.classpath","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\classpath\CheckClasspathForUnnecessaryExclusions.java","3","69","Avoid unused constructor parameters such as 'dependencyHandler'.","Best Practices","UnusedFormalParameter"
"2","org.springframework.boot.build.classpath","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\classpath\CheckClasspathForUnnecessaryExclusions.java","3","70","Avoid unused constructor parameters such as 'configurations'.","Best Practices","UnusedFormalParameter"
"3","org.springframework.boot.build.classpath","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\classpath\CheckClasspathForUnnecessaryExclusions.java","3","90","Avoid unused private methods such as 'processDependency(Dependency)'.","Best Practices","UnusedPrivateMethod"
"4","org.springframework.boot.build.classpath","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\classpath\CheckClasspathForUnnecessaryExclusions.java","3","98","Avoid using implementation types like 'TreeSet'; use the interface instead","Best Practices","LooseCoupling"
"5","org.springframework.boot.build.classpath","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\classpath\CheckClasspathForUnnecessaryExclusions.java","3","154","Avoid unused private methods such as 'getId(ResolvedArtifactResult)'.","Best Practices","UnusedPrivateMethod"
"6","org.springframework.boot.build.classpath","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\classpath\CheckClasspathForUnnecessaryExclusions.java","3","162","Avoid unused private methods such as 'getId(ExcludeRule)'.","Best Practices","UnusedPrivateMethod"
"1","org.springframework.boot.build.constraints","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\constraints\ExtractVersionConstraints.java","3","122","Avoid unused private methods such as 'processMetadataDetails(ComponentMetadataDetails)'.","Best Practices","UnusedPrivateMethod"
"1","org.springframework.boot.build.context.properties","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\context\properties\Asciidoc.java","3","26","StringBuffers can grow quite a lot, and so may become a source of memory leak (if the owning class has a long life time).","Best Practices","AvoidStringBufferField"
"1","org.springframework.boot.build.context.properties","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\context\properties\DocumentConfigurationProperties.java","3","89","Avoid unused private methods such as 'corePrefixes(Config)'.","Best Practices","UnusedPrivateMethod"
"2","org.springframework.boot.build.context.properties","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\context\properties\DocumentConfigurationProperties.java","3","117","Avoid unused private methods such as 'cachePrefixes(Config)'.","Best Practices","UnusedPrivateMethod"
